Organization Name,Organization Code,Organization Parent Organization Name,Organization Active Flag,Organization Parent Organization Code,Organization Type Code,Organization Type Description,total,pgrps-tot,pgrps-faculty,pgrps-staff,pgrps-student,pgrps-dcc
School of Plant Sciences-Ext,1525,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,6,2,1,2,0,0
Entomology-Ext,1531,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,5,1,1,1,0,0
Coconino County Office,1533,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,61,6,3,6,1,0
Gila County Office,1534,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,67,14,5,14,2,0
Graham County Office,1535,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,31,12,4,10,3,0
Greenlee County Office,1536,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,17,6,1,6,0,0
Maricopa County Office,1537,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,501,63,14,61,6,0
Mohave County Office,1538,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,72,10,2,10,0,0
Navajo County Office,1539,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,48,11,3,11,0,0
Pima County Office,1540,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,189,43,7,36,13,0
Pinal County Office,1541,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,212,37,4,36,3,0
Santa Cruz County Office,1542,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,121,35,1,33,3,0
Yavapai County Office,1543,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,59,16,4,16,0,0
Yuma County Office,1544,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,72,17,7,17,2,0
La Paz County Office,1545,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,35,4,2,4,1,0
Animal&Biomedical Sciences-Ext,1550,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,5,4,3,4,0,0
Safford Agriculture Center-Ext,1551,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,0,0,0,0,0,0
Agric Educ Tech & Innov-Ext,1552,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,0,0,0,0,0,0
Maricopa Ag Center-Ext,1553,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,45,3,1,3,1,0
Yuma Ag Center-Ext,1554,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,0,0,0,0,0,0
Water Resources Resrch Ctr-Ext,1555,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,82,20,2,9,11,0
Campus Ag Center-Ext,1556,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,0,0,0,0,0,0
V-Bar-V Ranch-Ext,1558,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,1,0,0,0,0,0
CALS Devel&Alumni Affairs-Ext,1561,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,0,0,0,0,0,0
CALS Admin-Ext,1562,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,0,0,0,0,0,0
CALS Comm Tech-Ext,1563,CALS Cooperative Ext,Y,AGCE,O,OFFICIAL ORG,0,0,0,0,0,0
UA Library Administration ADM,1701,Libraries,Y,LBRY,O,OFFICIAL ORG,371,65,18,36,33,1
UNIVERSITY LIBRARY,1702,UA Library Administration ADM,N,1701,N,UNOFFICIAL ORG - LEVEL 1,189,0,0,0,0,0
"Delivery, Descrpn, Acquisition",1703,Libraries,Y,LBRY,O,OFFICIAL ORG,227,35,8,21,15,1
Access & Information Services,1704,Libraries,Y,LBRY,O,OFFICIAL ORG,312,108,5,39,77,0
Digit Innovation/Stewardship,1705,Libraries,Y,LBRY,O,OFFICIAL ORG,91,21,9,11,10,0
Special Collections,1706,Libraries,Y,LBRY,O,OFFICIAL ORG,66,26,7,11,15,0
Research & Learning,1707,Libraries,Y,LBRY,O,OFFICIAL ORG,134,22,15,16,6,0
UA Library Students,1708,UA Library Administration ADM,Y,1701,N,UNOFFICIAL ORG - LEVEL 1,1126,7,0,0,6,1
Technology Strategy & Services,1709,Libraries,Y,LBRY,O,OFFICIAL ORG,82,25,1,18,7,2
Arizona Quarterly,1801,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,11,1,0,1,0,0
Pharmacy Administration,1901,College of Pharmacy,Y,PHRM,O,OFFICIAL ORG,1146,301,20,27,212,63
Pharmaceutical Sciences,1902,College of Pharmacy,Y,PHRM,O,OFFICIAL ORG,196,36,0,1,30,8
Pharmacology and Toxicology,1903,College of Pharmacy,Y,PHRM,O,OFFICIAL ORG,455,80,46,37,13,10
Center for Phytomedicine Rsch,1904,College of Pharmacy,Y,PHRM,O,OFFICIAL ORG,7,0,0,0,0,0
Pharmacy Practice and Science,1905,College of Pharmacy,Y,PHRM,O,OFFICIAL ORG,464,136,50,33,17,65
HOPE Center,1906,College of Pharmacy,Y,PHRM,O,OFFICIAL ORG,29,6,4,5,1,1
Center for Toxicology,1907,College of Pharmacy,Y,PHRM,O,OFFICIAL ORG,88,16,4,5,9,2
Poison Control Center,1908,College of Pharmacy,Y,PHRM,O,OFFICIAL ORG,90,45,26,27,10,15
James C Wyant Coll Optical Sci,2001,James C Wyant Coll Optical Sci,Y,OPSC,O,OFFICIAL ORG,1539,424,125,93,247,40
Graduate College Admin,2101,Graduate College,Y,GRDC,O,OFFICIAL ORG,530,119,19,33,78,7
Museum of Art,2201,UA Presents Division,Y,UAPS,O,OFFICIAL ORG,185,27,5,12,16,0
Engineering Administration,2301,College of Engineering,Y,ENGR,O,OFFICIAL ORG,426,109,42,54,42,3
Systems and Industrial Engr,2302,College of Engineering,Y,ENGR,O,OFFICIAL ORG,588,121,33,7,82,3
Electrical and Computer Engr,2303,College of Engineering,Y,ENGR,O,OFFICIAL ORG,1465,256,50,24,188,7
Aerospace & Mechanical Engr,2305,College of Engineering,Y,ENGR,O,OFFICIAL ORG,1199,215,51,27,146,8
Engineering Experiment Station,2306,College of Engineering,Y,ENGR,O,OFFICIAL ORG,134,1,0,0,1,0
Civil Arch Engr and Mechanics,2308,College of Engineering,Y,ENGR,O,OFFICIAL ORG,599,113,29,10,66,12
School of Sustainable Engr Sys,2309,College of Engineering,Y,ENGR,O,OFFICIAL ORG,0,0,0,0,0,0
Biomedical Engineering,2328,College of Engineering,Y,ENGR,O,OFFICIAL ORG,189,101,23,23,69,3
Research Administration,2401,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,30,8,6,8,1,0
VeterinaryA Sci & Microbio-Res,2402,College of Agric and Life Sci,N,AGSC,O,OFFICIAL ORG,252,3,0,0,0,3
Campus Agriculture Center,2406,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,92,31,1,30,1,0
Sch of Family Consumer Sci-Res,2407,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,160,19,3,10,9,2
Agric Educ Tech & Innov-Res,2408,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,24,0,0,0,0,0
Arizona Experiment Station,2411,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,1,1,1,1,0,0
Sch of Nat Resource&Enviro-Res,2412,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,1632,296,67,100,139,43
Safford Agriculture Center,2415,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,41,4,0,4,0,0
YCEDA,2416,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,6,6,2,6,0,0
Agricultural Resource Econ-Res,2418,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,240,22,9,3,13,0
Citrus Agriculture Center,2419,College of Agric and Life Sci,N,AGSC,O,OFFICIAL ORG,13,0,0,0,0,0
Environmental Science-Res,2421,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,714,149,42,56,66,13
Biosystems Engineering - Res,2422,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,412,90,19,21,58,3
Nutritional Sciences-Res,2423,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,316,67,24,28,21,7
Animal Sciences-Res,2424,College of Agric and Life Sci,N,AGSC,O,OFFICIAL ORG,365,1,0,0,1,0
School of Plant Sciences-Res,2425,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,1154,191,45,64,88,22
MARANA AGRICULTURE CENTER,2426,College of Agric and Life Sci,N,AGSC,O,OFFICIAL ORG,4,0,0,0,0,0
DK Ranch,2427,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,1,1,0,1,0,0
V-Bar-V Ranch-Res,2428,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,24,5,1,5,0,0
Yuma Agriculture Center-Res,2429,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,127,20,1,16,4,0
Maricopa Agricultural Ctr-Res,2430,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,277,28,3,28,2,0
Entomology-Res,2431,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,485,105,33,47,48,6
AZ Veterinary Diagnostic Lab,2433,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,39,13,2,13,0,0
CALS International Programs,2446,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,13,1,0,1,0,0
Animal&Biomedical Sciences-Res,2450,College of Agric and Life Sci,Y,AGSC,O,OFFICIAL ORG,406,167,28,70,84,5
Mining and Mineral Museum,2495,RDI Museums Division,Y,MUSM,O,OFFICIAL ORG,1,1,1,1,0,0
D7: AZ Data Science Initiative,2496,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,29,18,9,10,11,0
AZ Inst Advnc Energy Solutions,2497,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,1,0,0,0,0,0
Transportation Rsch Institute,2498,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,2,0,0,0,0,0
Defense & Security Rsch Inst,2499,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,17,10,4,5,5,0
Water Energy Sustainable Tech,2500,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,0,0,0,0,0,0
Interdis Graduate Prog Admin,2501,Graduate College,Y,GRDC,O,OFFICIAL ORG,245,101,1,10,87,9
Arid Lands Studies-Res,2503,College of Agric and Life Sci,N,AGSC,O,OFFICIAL ORG,159,3,0,0,0,3
Agriculture Demonstration Farm,2504,College of Agric and Life Sci,N,AGSC,O,OFFICIAL ORG,15,0,0,0,0,0
GUADALAJARA SUMMER SCHOOL,2505,College of Humanities,N,HMNT,O,OFFICIAL ORG,1,0,0,0,0,0
English as a Second Language,2506,College of Humanities,Y,HMNT,O,OFFICIAL ORG,381,41,24,7,16,1
Applied Mathematics GIDP,2507,Graduate College,Y,GRDC,O,OFFICIAL ORG,25,2,0,2,0,0
Biochem & Molecular Biophysics,2508,College of Science,N,SCNC,O,OFFICIAL ORG,268,8,0,0,0,8
AZ Rsch Labs-Interdisciplinary,2511,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,1074,106,32,70,24,18
The Honors College,2514,Honors College,Y,HNRS,O,OFFICIAL ORG,156,45,28,26,20,4
Ofc of Instl Rsch&Planning Sup,2517,Academic Affairs Division,Y,AADV,O,OFFICIAL ORG,69,1,0,0,1,0
Center for Transfer Students,2518,Enrollment Services,N,ENRL,O,OFFICIAL ORG,1,0,0,0,0,0
Neuro Communication Disorders,2519,College of Science,Y,SCNC,O,OFFICIAL ORG,18,0,0,0,0,0
Inter-Institutional Relations,2520,Enrollment Services,N,ENRL,O,OFFICIAL ORG,0,0,0,0,0,0
Arizona Water Institute,2521,RDI Research Infrastructure,N,RSDV,O,OFFICIAL ORG,3,0,0,0,0,0
AZ Research Labs - Science,2522,College of Science,Y,SCNC,O,OFFICIAL ORG,0,0,0,0,0,0
Planning Degree Program,2523,Col Arch Plan & Landscape Arch,Y,ARCH,O,OFFICIAL ORG,133,28,16,1,11,1
AZ RESEARCH LABS - CHEMISTRY,2524,College of Science,N,SCNC,O,OFFICIAL ORG,3,0,0,0,0,0
AZ Research Labs - Geosciences,2525,College of Science,Y,SCNC,O,OFFICIAL ORG,0,0,0,0,0,0
AZ Research Labs - Physics,2526,College of Science,N,SCNC,O,OFFICIAL ORG,0,0,0,0,0,0
Colleges Letters Arts Sci Adm,2527,Letters Arts & Sci Division,Y,CLAD,O,OFFICIAL ORG,7,0,0,0,0,0
Sch of Info: Sci Tech & Arts,2528,College of Science,N,SCNC,O,OFFICIAL ORG,59,0,0,0,0,0
Neuroscience,2529,College of Science,Y,SCNC,O,OFFICIAL ORG,125,52,16,16,23,8
Institute of the Environment,2530,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,125,42,14,19,24,1
Ctr for Rsch on Equity & Opp,2531,RDI Research Infrastructure,N,RSDV,O,OFFICIAL ORG,0,0,0,0,0,0
Research Admin Services,2532,RDI Research Infrastructure,Y,RSDV,O,OFFICIAL ORG,47,28,13,25,6,0
GIDP Neuroscience,2533,College of Science,Y,SCNC,O,OFFICIAL ORG,41,20,0,1,17,4
Sch of Mind Brain & Behavior,2534,College of Science,Y,SCNC,O,OFFICIAL ORG,6,6,3,3,4,0
Sch of Earth & Enviro Sciences,2535,College of Science,Y,SCNC,O,OFFICIAL ORG,0,0,0,0,0,0
Chemistry & Biochemistry-Sci,2536,College of Science,Y,SCNC,O,OFFICIAL ORG,1316,427,94,93,265,35
Confluence Ctr for Creative In,2537,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,18,8,1,4,3,1
Ctr for Creative Photography,2538,UA Presents Division,Y,UAPS,O,OFFICIAL ORG,112,47,9,26,23,0
Institute for LGBT Studies,2539,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,14,8,0,1,7,0
Arizona Space Institute,2547,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,0,0,0,0,0,0
Tumamoc Hill,2548,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,4,4,3,4,0,0
STEM Learning Center,2594,RDI Centers & Institutes,Y,RCTI,O,OFFICIAL ORG,7,4,0,2,3,0
Univ Information Tech Svcs,2601,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,3,0,0,0,0,0
UITS -COMPUTING SERVICES,2604,Univ Information Tech Svcs,Y,2601,N,UNOFFICIAL ORG - LEVEL 1,46,0,0,0,0,0
Journal of the Southwest,2701,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,0,0,0,0,0,0
Confluence Center for Creative Inquiry,2732,RDI Research Infrastructure,N,RSDV,O,OFFICIAL ORG,0,0,0,0,0,0
Mining & Geological Engr,2802,College of Engineering,Y,ENGR,O,OFFICIAL ORG,349,57,17,6,35,6
Chemical & Environmental Engr,2803,College of Engineering,Y,ENGR,O,OFFICIAL ORG,864,168,37,26,115,11
Materials Science & Engr,2804,College of Engineering,Y,ENGR,O,OFFICIAL ORG,579,88,25,14,55,6
Lowell Institute for Min Res,2871,College of Science,Y,SCNC,O,OFFICIAL ORG,32,22,9,13,8,1
UA Global-Other,2901,Ofc of Global Initiatives Div,Y,OTDV,O,OFFICIAL ORG,59,5,2,3,2,0
UNIVERSITY EXTENSION,2902,UA Outreach College,N,UAOC,O,OFFICIAL ORG,462,4,0,0,0,4
ELDERHOSTEL,2905,UA Outreach College,N,UAOC,O,OFFICIAL ORG,5,0,0,0,0,0
INDEPENDENT STUDY,2906,UA Outreach College,N,UAOC,O,OFFICIAL ORG,6,0,0,0,0,0
Summer Session,2907,Enrollment Services,Y,ENRL,O,OFFICIAL ORG,22,0,0,0,0,0
College of Applied Sci & Tech,2910,College of Applied Sci & Tech,Y,UAZS,O,OFFICIAL ORG,907,146,118,36,20,3
EVENING AND WEEKEND CAMPUS,2911,UA Outreach College,N,UAOC,O,OFFICIAL ORG,1,1,0,0,0,1
UA Outreach College,2912,UA Outreach College,N,UAOC,O,OFFICIAL ORG,19,0,0,0,0,0
UA Outrch Coll Non Credit Prog,2913,UA Outreach College,N,UAOC,O,OFFICIAL ORG,39,0,0,0,0,0
CONFERENCES,2915,UA Outreach College,N,UAOC,O,OFFICIAL ORG,11,0,0,0,0,0
DISTANCE LEARNING,2917,UA Outreach College,N,UAOC,O,OFFICIAL ORG,0,0,0,0,0,0
ELDERHOSTEL-INSTRUCTIONAL PERS,2995,UA Global-Other,Y,2901,N,UNOFFICIAL ORG - LEVEL 1,68,0,0,0,0,0
INDEPENDENT STUDY,2996,UA Global-Other,N,2901,N,UNOFFICIAL ORG - LEVEL 1,141,1,0,0,0,1
2D,2D,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
LEADERSHIP GIVING,2UDP,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Eller Administration,3001,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,386,85,42,51,35,3
School of Public Admin and Policy,3002,Eller College of Management,N,BUSN,O,OFFICIAL ORG,171,1,0,0,0,1
Finance,3003,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,186,42,23,6,17,2
Management and Organizations,3004,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,274,66,49,14,19,3
Economic Business Research Ctr,3005,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,61,10,4,9,1,0
Marketing,3006,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,217,43,24,7,16,1
School of Accountancy,3007,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,628,84,41,17,41,0
Sch of Geography & Development,3008,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,411,122,36,19,62,14
Economics,3009,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,508,106,40,10,51,12
Management Information Systems,3010,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,926,123,52,27,64,5
Eller Information Technology,3011,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,125,9,4,8,3,0
Karl Eller Grad School of Mgmt,3012,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,790,75,21,23,52,1
Economic Science Laboratory,3013,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,31,1,0,1,0,0
Ctr for Mgmt of Information,3014,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,117,5,1,1,3,0
Eller Undergraduate Programs,3016,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,488,92,42,42,54,0
McGuire Ctr - Entrepreneurship,3017,Eller Administration,Y,3001,N,UNOFFICIAL ORG - LEVEL 1,89,26,16,10,4,3
Scholarships-Eller Coll of Mgt,3020,Eller College of Management,Y,BUSN,O,OFFICIAL ORG,0,0,0,0,0,0
AZ Public Media Admin Svcs,3101,Arizona Public Media,Y,AZPM,O,OFFICIAL ORG,143,38,15,28,10,1
Radio Broadcast Services,3102,Arizona Public Media,Y,AZPM,O,OFFICIAL ORG,71,16,2,16,1,0
Technical Services,3103,Arizona Public Media,Y,AZPM,O,OFFICIAL ORG,34,12,1,12,0,0
TV Production Services,3104,Arizona Public Media,Y,AZPM,O,OFFICIAL ORG,218,30,2,15,16,0
AZ Public Media Content Prod,3105,Arizona Public Media,Y,AZPM,O,OFFICIAL ORG,89,25,11,21,6,0
UITS Equipment Services,3106,Univ Info Tech Services Div,Y,UITS,O,OFFICIAL ORG,65,0,0,0,0,0
Graphics and Photography,3108,Financial Services,N,FNSV,O,OFFICIAL ORG,3,0,0,0,0,0
Education - Dean's Office,3201,College of Education,Y,EDUC,O,OFFICIAL ORG,229,63,31,40,25,1
Disability Psychoeduc Studies,3204,College of Education,Y,EDUC,O,OFFICIAL ORG,663,145,77,22,52,12
Higher Education,3205,College of Education,N,EDUC,O,OFFICIAL ORG,23,2,0,0,0,2
Sch of Info Res & Library Sci,3206,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,291,0,0,0,0,0
Teaching Teacher Education,3208,College of Education,N,EDUC,O,OFFICIAL ORG,104,1,0,0,1,0
Educational Psychology,3211,College of Education,Y,EDUC,O,OFFICIAL ORG,143,29,9,2,18,1
Language Reading and Culture,3212,College of Education,N,EDUC,O,OFFICIAL ORG,123,1,0,0,0,1
Education Administration,3216,College of Education,N,EDUC,O,OFFICIAL ORG,49,1,0,0,0,1
EDUCATION-AMERICAL READS,3218,Education Administration,N,3216,N,UNOFFICIAL ORG - LEVEL 1,492,52,0,0,52,0
FIRST THINGS FIRST EXTERNAL EVALUATION,3219,Education - Dean's Office,N,3201,N,UNOFFICIAL ORG - LEVEL 1,185,2,0,0,2,0
Educatnl Policy Studies Pract,3221,College of Education,Y,EDUC,O,OFFICIAL ORG,187,87,22,10,60,4
Teachg Learning Sociocult Stds,3222,College of Education,Y,EDUC,O,OFFICIAL ORG,603,246,113,32,118,13
College of Nursing,3301,College of Nursing,Y,NURS,O,OFFICIAL ORG,1019,325,237,65,41,34
CON Accelerated Partnership Pg,3302,College of Nursing,Y,NURS,O,OFFICIAL ORG,0,0,0,0,0,0
Nursing Scholarships,3303,College of Nursing,Y,NURS,O,OFFICIAL ORG,0,0,0,0,0,0
AZ Health Education Centers,3310,AZ Health Sci Ctrs & Divisions,Y,HSCD,O,OFFICIAL ORG,32,11,5,6,5,0
Fine Arts Administration,3501,College of Fine Arts,Y,FNRT,O,OFFICIAL ORG,176,46,20,28,17,1
Speech Language & Hearing Sci,3502,College of Science,Y,SCNC,O,OFFICIAL ORG,733,119,41,27,60,5
School of Music,3503,College of Fine Arts,Y,FNRT,O,OFFICIAL ORG,1336,244,62,23,163,2
School of Art,3504,College of Fine Arts,Y,FNRT,O,OFFICIAL ORG,900,120,49,23,58,2
Communication,3505,College of Social & Behav Sci,Y,SBSC,O,OFFICIAL ORG,269,49,18,4,27,1
School of Theatre Arts,3506,College of Fine Arts,N,FNRT,O,OFFICIAL ORG,378,3,0,0,3,0
School of Media Arts,3507,College of Fine Arts,N,FNRT,O,OFFICIAL ORG,175,1,0,0,1,0
School of Dance,3508,College of Fine Arts,Y,FNRT,O,OFFICIAL ORG,212,51,17,15,24,0
Sch Theatre Film & Television,3509,College of Fine Arts,Y,FNRT,O,OFFICIAL ORG,411,121,51,15,58,2
Law Administration,3601,James E Rogers College of Law,Y,LAWC,O,OFFICIAL ORG,159,64,39,50,7,5
Law Library,3602,James E Rogers College of Law,Y,LAWC,O,OFFICIAL ORG,153,21,12,19,8,0
Law Instruction,3603,James E Rogers College of Law,Y,LAWC,O,OFFICIAL ORG,1481,299,155,38,126,19
TBD,3718,Law Instruction,Y,3603,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
3D,3D,School of Art,Y,3504,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
UA HEALTH SCIENCES,3UDP,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Univ Rsch Instrument Center,4101,RDI Research Infrastructure,N,RSDV,O,OFFICIAL ORG,30,0,0,0,0,0
Public Health Administration,4201,College of Public Health,Y,PBHL,O,OFFICIAL ORG,123,45,19,37,9,2
AZCOPH Stdt Svcs & Acad Affrs,4202,College of Public Health,Y,PBHL,O,OFFICIAL ORG,33,11,7,8,3,1
Health Education-Undergraduate,4203,College of Public Health,Y,PBHL,O,OFFICIAL ORG,0,0,0,0,0,0
Epidemiology and Biostatistics,4204,College of Public Health,Y,PBHL,O,OFFICIAL ORG,271,76,27,12,42,5
Health Promotion Sciences,4205,College of Public Health,Y,PBHL,O,OFFICIAL ORG,669,167,37,43,90,14
Community Environment & Policy,4206,College of Public Health,Y,PBHL,O,OFFICIAL ORG,366,96,30,21,46,9
Canyon Ranch Ctr Health Promo,4207,College of Public Health,Y,PBHL,O,OFFICIAL ORG,29,0,0,0,0,0
Network for Info Counseling,4208,Health Promotion Sciences,Y,4205,N,UNOFFICIAL ORG - LEVEL 1,177,36,2,21,15,2
RURAL HEALTH OFFICE,4209,Public Health Administration,Y,4201,N,UNOFFICIAL ORG - LEVEL 1,72,26,8,17,10,1
Global Health Institute,4211,College of Public Health,Y,PBHL,O,OFFICIAL ORG,1,1,1,1,0,0
Public Hlth Pract & Trans Rsch,4212,College of Public Health,Y,PBHL,O,OFFICIAL ORG,44,39,23,9,13,6
ESRAC,4213,College of Public Health,Y,PBHL,O,OFFICIAL ORG,0,0,0,0,0,0
SCHOLARSHIP - STUDENT SUCCESS,4UDP,Development Office,Y,9903,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  Emerg Med,55EM,COM PHX Emergency Med Rsch Ctr,Y,0655,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Business Administration,59BA,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Banner Mission Support,59BN,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Core Services,59CR,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx College Administration-Sources,59CS,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Dean,59DN,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Development,59DV,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Diversity,59DY,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Ext Relations,59EX,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Faculty Affairs,59FA,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Flow Cytometry,59FL,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Facilities Management,59FM,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Finance,59FN,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx General Administration,59GA,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  General Capital,59GC,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Graduate Medical Education,59GM,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Grad Program,59GP,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Human Resources,59HR,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Information Technology,59IT,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx Library,59LB,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
Microscopy Core,59MC,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx PCH Expansion 2,59P2,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
COM Phx  PCH Expansion 3,59P3,COM Phx Campus Administration,Y,0659,N,UNOFFICIAL ORG - LEVEL 1,0,0,0,0,0,0
